date,tweet,clean_tweet,sentiment
2013-06-28," Taking action. Will be a 7 day grace period for $2500 ext warranty. Neg margin at that price, so must unfortunately raise.",take action day grace period ext warranti neg margin price must unfortun rais, POSITIVE
2013-05-25,"Am not suggesting shutting down CO2 production, but rather to price in environmental cost &amp; shift to sustainable energy",suggest shut co product rather price environment cost amp shift sustain energi, NEUTRAL
2013-05-03, Guaranteeing the world's best resale value in industry is unprecedented and backed up my other assets. Why isn't that good?,guarante world best resal valu industri unpreced back asset good, POSITIVE
2013-05-03," Yes, this does put an indirect floor on resale value. Should help all owners.",yes put indirect floor resal valu help owner, POSITIVE
2013-05-03,Tesla raises Model S resale value guarantee to highest in auto industry  ,tesla rais model resal valu guarante highest auto industri, NEUTRAL
2013-05-03," We can't formally provide a guarantee w/o restating accounting, but I feel confident about the value anyway.",formal provid guarante w restat account feel confid valu anyway, NEGATIVE
2013-02-27,"  Exactly. Then no need for clean energy subsidies, as externality is priced into mkt behavior",exact need clean energi subsidi extern price mkt behavior, NEUTRAL
2014-10-28,"Also, lease price improvement is due to US Bank deal. It is *not* a discount. Revenue to Tesla is unchanged.",also leas price improv due us bank deal discount revenu tesla unchang, NEGATIVE
2014-01-23,Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world ,tesla polici charg price tax amp ship everywher world, NEUTRAL
2015-09-30,"Btw, price of Model X is actually only $5k more than S. Lower cost versions coming later.",btw price model x actual k lower cost version come later, POSITIVE
2015-09-02," $35k price, unveil in March, preorders start then.",k price unveil march preorder start, POSITIVE
2015-09-02,"With same options, Model X is $5k more than an S due to greater size &amp; body complexity. Sig Series is fully loaded, hence high price.",option model x k due greater size amp bodi complex sig seri fulli load henc high price, POSITIVE
2015-06-23,Important to note that Model S resale value is also higher than that of gasoline cars,import note model resal valu also higher gasolin car, POSITIVE
2015-03-16,Some people seem to think I tweet to affect share price. This is false. A brief rise in $TSLA stock obviously does no good for Tesla or me.,peopl seem think tweet affect share price fals brief rise tsla stock obvious good tesla, POSITIVE
2016-10-29,"Should mention that the Tesla solar roof is robust against any weather, incl heavy hail. Also, higher insulating value than a standard roof.",mention tesla solar roof robust weather incl heavi hail also higher insul valu standard roof, POSITIVE
2016-09-13,Comprehensive study by Autolist shows that a Tesla retains its value far better than gasoline sedans ,comprehens studi autolist show tesla retain valu far better gasolin sedan, NEUTRAL
2016-07-05," If you care about auto deaths as material to stock prices, why no articles about 1M+/year deaths from other auto companies?",care auto death materi stock price articl year death auto compani, POSITIVE
2016-04-27," some places are trickier than others, but yes. That's the value of having a PICA-3 heat shield with propulsive landing.",place trickier other yes valu pica heat shield propuls land, POSITIVE
2016-04-20,Looks like Model X resale value is holding up well :)  ,look like model x resal valu hold well, POSITIVE
2016-04-01,"Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright!",model order hour sell price w avg option mix prob k b day futur electr car look bright, POSITIVE
2017-10-06,"   Tesla always charges the same price for a Powerwall (only taxes &amp; shipping costs vary), so something is messed up here. I've asked my team to stop shipment to any installers charging excessive premiums.",tesla alway charg price powerwal tax amp ship cost vari someth mess ask team stop shipment instal charg excess premium, POSITIVE
2017-10-02,  Homes on Jupiter with solar-power *and* a Powerwall going right now for great price!,home jupit solar power powerwal go right great price, POSITIVE
