date,bitcoin_price,stonks
2010-07-19,0.0858,0
2010-07-20,0.0808,-1
2010-07-21,0.0747,-1
2010-07-22,0.0792,1
2010-07-23,0.0505,-1
2010-07-24,0.0626,1
2010-07-25,0.0545,-1
2010-07-26,0.0505,-1
2010-07-27,0.056,1
2010-07-28,0.06,1
2010-07-29,0.0589,-1
2010-07-30,0.0699,1
2010-07-31,0.0627,-1
2010-08-01,0.0679,1
2010-08-02,0.0611,-1
2010-08-03,0.06,-1
2010-08-04,0.06,0
2010-08-05,0.057,-1
2010-08-06,0.061,1
2010-08-07,0.0623,1
2010-08-08,0.059,-1
2010-08-09,0.0609,1
2010-08-10,0.071,1
2010-08-11,0.07,-1
2010-08-12,0.067,-1
2010-08-13,0.07,1
2010-08-14,0.0645,-1
2010-08-15,0.067,1
2010-08-16,0.0653,-1
2010-08-17,0.0655,1
2010-08-18,0.07,1
2010-08-19,0.068,-1
2010-08-20,0.0667,-1
2010-08-21,0.0655,-1
2010-08-22,0.0664,1
2010-08-23,0.066,-1
2010-08-24,0.0649,-1
2010-08-25,0.065,1
2010-08-26,0.0648,-1
2010-08-27,0.064,-1
2010-08-28,0.065,1
2010-08-29,0.0641,-1
2010-08-30,0.064,-1
2010-08-31,0.065,1
2010-09-01,0.06,-1
2010-09-02,0.0629,1
2010-09-03,0.0634,1
2010-09-04,0.0609,-1
2010-09-05,0.0624,1
2010-09-06,0.0616,-1
2010-09-07,0.0616,0
2010-09-08,0.061,-1
2010-09-09,0.062,1
2010-09-10,0.0611,-1
2010-09-11,0.0618,1
2010-09-12,0.0637,1
2010-09-13,0.0615,-1
2010-09-14,0.0622,1
2010-09-15,0.062,-1
2010-09-16,0.0604,-1
2010-09-17,0.0619,1
2010-09-18,0.059,-1
2010-09-19,0.061,1
2010-09-20,0.0627,1
2010-09-21,0.0621,-1
2010-09-22,0.0627,1
2010-09-23,0.0622,-1
2010-09-24,0.0623,1
2010-09-25,0.0622,-1
2010-09-26,0.062,-1
2010-09-27,0.062,0
2010-09-28,0.0622,1
2010-09-29,0.0619,-1
2010-09-30,0.0619,0
2010-10-01,0.0619,0
2010-10-02,0.062,1
2010-10-03,0.0614,-1
2010-10-04,0.0611,-1
2010-10-05,0.0613,1
2010-10-06,0.0614,1
2010-10-07,0.0628,1
2010-10-08,0.067,1
2010-10-09,0.0869,1
