date,tweet,clean_tweet
2013-06-28," Taking action. Will be a 7 day grace period for $2500 ext warranty. Neg margin at that price, so must unfortunately raise.",take action day grace period ext warranti neg margin price must unfortun rais
2013-05-25,"Am not suggesting shutting down CO2 production, but rather to price in environmental cost &amp; shift to sustainable energy",suggest shut co product rather price environment cost amp shift sustain energi
2013-05-03, Guaranteeing the world's best resale value in industry is unprecedented and backed up my other assets. Why isn't that good?,guarante world best resal valu industri unpreced back asset good
2013-05-03," Yes, this does put an indirect floor on resale value. Should help all owners.",yes put indirect floor resal valu help owner
2013-05-03,Tesla raises Model S resale value guarantee to highest in auto industry  ,tesla rais model resal valu guarante highest auto industri
2013-05-03," We can't formally provide a guarantee w/o restating accounting, but I feel confident about the value anyway.",formal provid guarante w restat account feel confid valu anyway
2013-02-27,"  Exactly. Then no need for clean energy subsidies, as externality is priced into mkt behavior",exact need clean energi subsidi extern price mkt behavior
2014-10-28,"Also, lease price improvement is due to US Bank deal. It is *not* a discount. Revenue to Tesla is unchanged.",also leas price improv due us bank deal discount revenu tesla unchang
2014-01-23,Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world  ,tesla polici charg price tax amp ship everywher world
2015-09-30,"Btw, price of Model X is actually only $5k more than S. Lower cost versions coming later.",btw price model x actual k lower cost version come later
2015-09-02," $35k price, unveil in March, preorders start then.",k price unveil march preorder start
2015-09-02,"With same options, Model X is $5k more than an S due to greater size &amp; body complexity. Sig Series is fully loaded, hence high price.",option model x k due greater size amp bodi complex sig seri fulli load henc high price
2015-06-23,Important to note that Model S resale value is also higher than that of gasoline cars,import note model resal valu also higher gasolin car
2015-03-16,Some people seem to think I tweet to affect share price. This is false. A brief rise in $TSLA stock obviously does no good for Tesla or me.,peopl seem think tweet affect share price fals brief rise tsla stock obvious good tesla
2016-10-29,"Should mention that the Tesla solar roof is robust against any weather, incl heavy hail. Also, higher insulating value than a standard roof.",mention tesla solar roof robust weather incl heavi hail also higher insul valu standard roof
2016-09-13,Comprehensive study by Autolist shows that a Tesla retains its value far better than gasoline sedans  ,comprehens studi autolist show tesla retain valu far better gasolin sedan
2016-07-05," If you care about auto deaths as material to stock prices, why no articles about 1M+/year deaths from other auto companies?",care auto death materi stock price articl year death auto compani
2016-04-27," some places are trickier than others, but yes. That's the value of having a PICA-3 heat shield with propulsive landing.",place trickier other yes valu pica heat shield propuls land
2016-04-20,Looks like Model X resale value is holding up well :)  ,look like model x resal valu hold well
2016-04-01,"Model 3 orders at 180,000 in 24 hours. Selling price w avg option mix prob $42k, so ~$7.5B in a day. Future of electric cars looking bright!",model order hour sell price w avg option mix prob k b day futur electr car look bright
2017-10-06,"   Tesla always charges the same price for a Powerwall (only taxes &amp; shipping costs vary), so something is messed up here. I've asked my team to stop shipment to any installers charging excessive premiums.",tesla alway charg price powerwal tax amp ship cost vari someth mess ask team stop shipment instal charg excess premium
2017-10-02,  Homes on Jupiter with solar-power *and* a Powerwall going right now for great price!,home jupit solar power powerwal go right great price
2017-09-26,Good NYT article from several years ago about the value of fiction  ,good nyt articl sever year ago valu fiction
2017-07-30," Yeah, it's better than a Model 3. We can put a lot more in a car at a higher price.",yeah better model put lot car higher price
2017-07-25, $US price in $AUD plus import duties and sales tax,us price aud plus import duti sale tax
2017-07-11,"Thanks PayPal for allowing me to buy back   No plans right now, but it has great sentimental value to me.",thank paypal allow buy back plan right great sentiment valu
2017-07-09," It's who is first to pay full price for the car. Hard rule. I have first Roadster and X, but not first S.",first pay full price car hard rule first roadster x first
2017-06-16,"$300M cost diff between SpaceX and Boeing/Lockheed exceeds avg value of satellite, so flying with SpaceX means satellite is basically free  ",cost diff spacex boe lockhe exceed avg valu satellit fli spacex mean satellit basic free
2017-05-22,  There's just no way. Hundreds of parts and most of wiring harness would have to be replaced. Would cost more to retrofit than trading in.,way hundr part wire har would replac would cost retrofit trade
2017-04-12,Autolist survey finds Tesla used car values are highest and sell fastest  ,autolist survey find tesla use car valu highest sell fastest
2017-04-03,"    Exactly. Tesla is absurdly overvalued if based on the past, but that's irrelevant. A stock price represents risk-adjusted future cash flows.",exact tesla absurd overvalu base past irrelev stock price repres risk adjust futur cash flow
2017-01-22," The 100D price takes into account exchange rate shifts, whereas other vehicle prices haven't yet been adjusted",price take account exchang rate shift wherea vehicl price yet adjust
2018-10-27," It was underpriced. Anyway, if you want $5k refund &amp; free Supercharging turned off, we will do that.",underpr anyway want k refund amp free supercharg turn
2018-10-22,  Wanna buy some Bitcoin? 😉😉  ,wanna buy bitcoin
2018-10-18," It’s kind of like the post office. Same price for delivery to Maine as the SF Bay Area. But you do get a free Tesla factory tour, which is really fun to see.",kind like post offic price deliveri main sf bay area get free tesla factori tour realli fun see
2018-10-17," True, but this will improve dramatically over next several months &amp; all Tesla cars ever produced (except early Roadsters) will get improvements for free. Continuous, free over-the-air software updates is a big part of why a Tesla retains so much value over time.",true improv dramat next sever month amp tesla car ever produc except earli roadster get improv free continu free air softwar updat big part tesla retain much valu time
2018-10-04,     Exactly. Short-sellers are value destroyers. Should definitely be illegal.,exact short seller valu destroy definit illeg
2018-10-04,"By revenue, taking publicly available selling prices, Model 3 actually outsold Camry by a factor of two  ",revenu take public avail sell price model actual outsold camri factor two
2018-10-04,"People sometimes forget that a company is just a group of people gathered together to make products. So long as it makes great products, it will have great value.",peopl sometim forget compani group peopl gather togeth make product long make great product great valu
2018-10-04,"  If you think Tesla is overvalued compared to probable value of future cash flows, sell. Otherwise, buy.",think tesla overvalu compar probabl valu futur cash flow sell otherwis buy
